doc,clean,tokens,prediction,ground_truth
"I buy 5 grams at a time so it's the same batch, and tapering has worked for every other drug addiction I've quit. I'll let ya know when I'm done.",buy 5 grams at a time so is the same batch and tapering has worked for every other drug addiction have quit will let ya know when am done,"['buy', '5', 'grams', 'at', 'a', 'time', 'so', 'is', 'the', 'same', 'batch', 'and', 'tapering', 'has', 'worked', 'for', 'every', 'other', 'drug', 'addiction', 'have', 'quit', 'will', 'let', 'ya', 'know', 'when', 'am', 'done']",2,0
Poppin Percocet solve all my problems,poppin percocet solve all problems,"['poppin', 'percocet', 'solve', 'all', 'problems']",2,0
I can not sleep so maybe I will use tramadol,can not sleep so maybe will use tramadol,"['can', 'not', 'sleep', 'so', 'maybe', 'will', 'use', 'tramadol']",2,0
I’ll also use trazadone so I don’t build a benzo addiction. So I can use which ever first. Getting sleep initially is very important since your body is freaking out,ill also use trazadone so dont build a benzo addiction so can use ever first getting sleep initially is very important since body is freaking out,"['ill', 'also', 'use', 'trazadone', 'so', 'dont', 'build', 'a', 'benzo', 'addiction', 'so', 'can', 'use', 'ever', 'first', 'getting', 'sleep', 'initially', 'is', 'very', 'important', 'since', 'body', 'is', 'freaking', 'out']",2,0
Yes that's why I'm so frustrated with myself that I picked methadone of all things ... But I'm going to get through it. I have to  jd,yes is why am so frustrated with picked methadone of all things but am going to get through have to jd,"['yes', 'is', 'why', 'am', 'so', 'frustrated', 'with', 'picked', 'methadone', 'of', 'all', 'things', 'but', 'am', 'going', 'to', 'get', 'through', 'have', 'to', 'jd']",2,0
Time to mix 🥃 Hennessy+Taylor Port+Xanax +Percocet I wonder where will I land 🪂,time to mix hennessytaylor portxanax percocet wonder where will land,"['time', 'to', 'mix', 'hennessytaylor', 'portxanax', 'percocet', 'wonder', 'where', 'will', 'land']",2,0
25 days. had an appointment today for my anxiety that went awesome. i’m excited i have cash for my kids’ dr appointment tomorrow and enough to go immediately get their new glasses. it’s crazy how fast things get better. also working on a painting as a christmas gift for someone,25 days had an appointment today for anxiety went awesome im excited have cash for kids dr appointment tomorrow and enough to go immediately get new glasses crazy how fast things get better also working on a painting as a christmas gift for someone,"['25', 'days', 'had', 'an', 'appointment', 'today', 'for', 'anxiety', 'went', 'awesome', 'im', 'excited', 'have', 'cash', 'for', 'kids', 'dr', 'appointment', 'tomorrow', 'and', 'enough', 'to', 'go', 'immediately', 'get', 'new', 'glasses', 'crazy', 'how', 'fast', 'things', 'get', 'better', 'also', 'working', 'on', 'a', 'painting', 'as', 'a', 'christmas', 'gift', 'for', 'someone']",2,0
I thought about it but honestly i dont trust myself. I decided to go CT due to my addictive personality. So Ive just been dealing. Its actually improving daily and i pray it continues to get better. Thanks for the advice!!!,thought about but honestly dont trust decided to go ct due to addictive personality so ive just been dealing actually improving daily and pray continues to get better thanks for the advice,"['thought', 'about', 'but', 'honestly', 'dont', 'trust', 'decided', 'to', 'go', 'ct', 'due', 'to', 'addictive', 'personality', 'so', 'ive', 'just', 'been', 'dealing', 'actually', 'improving', 'daily', 'and', 'pray', 'continues', 'to', 'get', 'better', 'thanks', 'for', 'the', 'advice']",2,0
"Never, ever drink while detoxing opiates. I think it makes things way worse ha. Plus alcohol will never hit those same receptors and thus will never satisfy. 

Hope youre still on track mate, happy NY :)",never ever drink while detoxing opiates think makes things way worse ha plus alcohol will never hit same receptors and thus will never satisfy hope youre still on track mate happy ny,"['never', 'ever', 'drink', 'while', 'detoxing', 'opiates', 'think', 'makes', 'things', 'way', 'worse', 'ha', 'plus', 'alcohol', 'will', 'never', 'hit', 'same', 'receptors', 'and', 'thus', 'will', 'never', 'satisfy', 'hope', 'youre', 'still', 'on', 'track', 'mate', 'happy', 'ny']",2,0
"Well I never keep one, I stop before I get too deep and I keep at least 10 days off before I start up with fent etc",well never keep one stop before get too deep and keep at least 10 days off before start up with fent etc,"['well', 'never', 'keep', 'one', 'stop', 'before', 'get', 'too', 'deep', 'and', 'keep', 'at', 'least', '10', 'days', 'off', 'before', 'start', 'up', 'with', 'fent', 'etc']",2,0
