doc,clean,tokens,prediction,ground_truth
"It will be just don’t use any substance I learned I even abused weed if that makes sense, I would let it control me just like opiates. Because I have no self control",will be just dont use any substance learned even abused weed if makes sense would let control just like opiates because have no self control,"['will', 'be', 'just', 'dont', 'use', 'any', 'substance', 'learned', 'even', 'abused', 'weed', 'if', 'makes', 'sense', 'would', 'let', 'control', 'just', 'like', 'opiates', 'because', 'have', 'no', 'self', 'control']",0,0
I want to go do this but I’m so self conscious cause I would have no idea what to do when I got into a gym. Like what exercises to do without looking like an idiot,want to go do but im so self conscious cause would have no idea to do when got into a gym like exercises to do without looking like an idiot,"['want', 'to', 'go', 'do', 'but', 'im', 'so', 'self', 'conscious', 'cause', 'would', 'have', 'no', 'idea', 'to', 'do', 'when', 'got', 'into', 'a', 'gym', 'like', 'exercises', 'to', 'do', 'without', 'looking', 'like', 'an', 'idiot']",0,0
Do you think it helped rather than jumping off from the start? I know it will be painful either way but I think I might not do it just so I can avoid felling shitty for longer and get the acute withdrawals over with.,do think helped rather than jumping off from the start know will be painful either way but think might not do just so can avoid felling shitty for longer and get the acute withdrawals over with,"['do', 'think', 'helped', 'rather', 'than', 'jumping', 'off', 'from', 'the', 'start', 'know', 'will', 'be', 'painful', 'either', 'way', 'but', 'think', 'might', 'not', 'do', 'just', 'so', 'can', 'avoid', 'felling', 'shitty', 'for', 'longer', 'and', 'get', 'the', 'acute', 'withdrawals', 'over', 'with']",0,0
"Day 6 being sober 

It feels like cocaine. I got so much power I don’t know what to do. Gonna hit the gym 💪",day 6 being sober feels like cocaine got so much power dont know to do gonna hit the gym,"['day', '6', 'being', 'sober', 'feels', 'like', 'cocaine', 'got', 'so', 'much', 'power', 'dont', 'know', 'to', 'do', 'gonna', 'hit', 'the', 'gym']",2,2
"Just know you can do it. Im using red kratom, go get some. Im on day 3 of Cold turkey, and i feel like shit but the kratom helps SO much. And i feel AMAZING knowing im leaving this bullshit behind me. You CAN do it",just know can do im using red kratom go get some im on day 3 of cold turkey and feel like shit but the kratom helps so much and feel amazing knowing im leaving bullshit behind can do,"['just', 'know', 'can', 'do', 'im', 'using', 'red', 'kratom', 'go', 'get', 'some', 'im', 'on', 'day', '3', 'of', 'cold', 'turkey', 'and', 'feel', 'like', 'shit', 'but', 'the', 'kratom', 'helps', 'so', 'much', 'and', 'feel', 'amazing', 'knowing', 'im', 'leaving', 'bullshit', 'behind', 'can', 'do']",2,2
I'm on methadone it definitely doesn't work well for me.,am on methadone definitely does not work well for,"['am', 'on', 'methadone', 'definitely', 'does', 'not', 'work', 'well', 'for']",2,2
"Yeah dude, guess metabolism has a huge role in how fast it passes.  Has to be more to it than just that, but it eludes me lol. Be careful out there",yeah dude guess metabolism has a huge role in how fast passes has to be more to than just but eludes lol be careful out there,"['yeah', 'dude', 'guess', 'metabolism', 'has', 'a', 'huge', 'role', 'in', 'how', 'fast', 'passes', 'has', 'to', 'be', 'more', 'to', 'than', 'just', 'but', 'eludes', 'lol', 'be', 'careful', 'out', 'there']",2,2
"Not sure what dilly is, but I snorted roxies all day long. I am in FL and we used to be able to go to like 8 pain doctors a month and not get caught. That has changed though. Coke was occasional, I generally avoided stimulants though even now I still fantasize about doing X again",not sure dilly is but snorted roxies all day long am in fl and used to be able to go to like 8 pain doctors a month and not get caught has changed though coke was occasional generally avoided stimulants though even now still fantasize about doing x again,"['not', 'sure', 'dilly', 'is', 'but', 'snorted', 'roxies', 'all', 'day', 'long', 'am', 'in', 'fl', 'and', 'used', 'to', 'be', 'able', 'to', 'go', 'to', 'like', '8', 'pain', 'doctors', 'a', 'month', 'and', 'not', 'get', 'caught', 'has', 'changed', 'though', 'coke', 'was', 'occasional', 'generally', 'avoided', 'stimulants', 'though', 'even', 'now', 'still', 'fantasize', 'about', 'doing', 'x', 'again']",1,1
"TBH When I get clean I have so much energy, I feel well again and happy I don't have to worry about gear.

With a habit, I'll feel high for 6 hours, then sick again until I can redose.  Going through that every day sucks,  you can even sometimes get sick of the buzz.",tbh when get clean have so much energy feel well again and happy do not have to worry about gear with a habit will feel high for 6 hours then sick again until can redose going through every day sucks can even sometimes get sick of the buzz,"['tbh', 'when', 'get', 'clean', 'have', 'so', 'much', 'energy', 'feel', 'well', 'again', 'and', 'happy', 'do', 'not', 'have', 'to', 'worry', 'about', 'gear', 'with', 'a', 'habit', 'will', 'feel', 'high', 'for', '6', 'hours', 'then', 'sick', 'again', 'until', 'can', 'redose', 'going', 'through', 'every', 'day', 'sucks', 'can', 'even', 'sometimes', 'get', 'sick', 'of', 'the', 'buzz']",0,0
Also have to say I’m more thankful than ever for my sobriety today. Cocaine was my DOC- I truly believe if I wouldn’t have gotten sober when I did I would have succumbed to my addiction sooner than later. A new life is out there if you’re struggling. You CAN overcome https://t.co/8zlnItTprc,also have to say im more thankful than ever for sobriety today cocaine was doc truly believe if wouldnt have gotten sober when did would have succumbed to addiction sooner than later a new life is out there if youre struggling can overcome,"['also', 'have', 'to', 'say', 'im', 'more', 'thankful', 'than', 'ever', 'for', 'sobriety', 'today', 'cocaine', 'was', 'doc', 'truly', 'believe', 'if', 'wouldnt', 'have', 'gotten', 'sober', 'when', 'did', 'would', 'have', 'succumbed', 'to', 'addiction', 'sooner', 'than', 'later', 'a', 'new', 'life', 'is', 'out', 'there', 'if', 'youre', 'struggling', 'can', 'overcome']",2,2
"thank you so much. As addiction is a chronically relapsing disease, I know I will slip up at some point later in life. I know I will deal with this for the rest of my life; that is a given.

Thank you for the advice and encouragement. It helps so much",thank so much as addiction is a chronically relapsing disease know will slip up at some point later in life know will deal with for the rest of life is a given thank for the advice and encouragement helps so much,"['thank', 'so', 'much', 'as', 'addiction', 'is', 'a', 'chronically', 'relapsing', 'disease', 'know', 'will', 'slip', 'up', 'at', 'some', 'point', 'later', 'in', 'life', 'know', 'will', 'deal', 'with', 'for', 'the', 'rest', 'of', 'life', 'is', 'a', 'given', 'thank', 'for', 'the', 'advice', 'and', 'encouragement', 'helps', 'so', 'much']",0,0
If u are dead set on takin the oxys then save em for tomorrow when u aint on the xans and the booze,if u are dead set on takin the oxys then save em for tomorrow when u aint on the xans and the booze,"['if', 'u', 'are', 'dead', 'set', 'on', 'takin', 'the', 'oxys', 'then', 'save', 'em', 'for', 'tomorrow', 'when', 'u', 'aint', 'on', 'the', 'xans', 'and', 'the', 'booze']",2,2
"My vision gets blurry when I do loads of heroin. To a point where I permanently squint with one eye to even see shit. And I get super dumb. Maybe they are even stronger than you think and you are just very, very high.",vision gets blurry when do loads of heroin to a point where permanently squint with one eye to even see shit and get super dumb maybe are even stronger than think and are just very very high,"['vision', 'gets', 'blurry', 'when', 'do', 'loads', 'of', 'heroin', 'to', 'a', 'point', 'where', 'permanently', 'squint', 'with', 'one', 'eye', 'to', 'even', 'see', 'shit', 'and', 'get', 'super', 'dumb', 'maybe', 'are', 'even', 'stronger', 'than', 'think', 'and', 'are', 'just', 'very', 'very', 'high']",2,2
Back in January 2019 I was going through my first six chemo treatments. And it was the near the end. And it was tough. Hard to explain to folks who haven’t gone through it. Closest mentally I can think of maybe is morphine withdrawal.,back in january 2019 was going through first six chemo treatments and was the near the end and was tough hard to explain to folks havent gone through closest mentally can think of maybe is morphine withdrawal,"['back', 'in', 'january', '2019', 'was', 'going', 'through', 'first', 'six', 'chemo', 'treatments', 'and', 'was', 'the', 'near', 'the', 'end', 'and', 'was', 'tough', 'hard', 'to', 'explain', 'to', 'folks', 'havent', 'gone', 'through', 'closest', 'mentally', 'can', 'think', 'of', 'maybe', 'is', 'morphine', 'withdrawal']",1,1
"Hi recovered i start pondering what i did and who i hurt and who i’ve stolen from. i’ve worked the steps and made my amends and for the most part was forgiven. having a hard time forgiving myself., I'm dad.",hi recovered start pondering did and hurt and ive stolen from ive worked the steps and made amends and for the most part was forgiven having a hard time forgiving am dad,"['hi', 'recovered', 'start', 'pondering', 'did', 'and', 'hurt', 'and', 'ive', 'stolen', 'from', 'ive', 'worked', 'the', 'steps', 'and', 'made', 'amends', 'and', 'for', 'the', 'most', 'part', 'was', 'forgiven', 'having', 'a', 'hard', 'time', 'forgiving', 'am', 'dad']",1,1
In 23 days time I will have been clean and sober from cocaine for 2 whole years. Currently at 707 days. I wouldn't of being able to get here without the Twitter community. I'm so proud and the change was certainly needed. Well impressed with myself,in 23 days time will have been clean and sober from cocaine for 2 whole years currently at 707 days would not of being able to get here without the twitter community am so proud and the change was certainly needed well impressed with,"['in', '23', 'days', 'time', 'will', 'have', 'been', 'clean', 'and', 'sober', 'from', 'cocaine', 'for', '2', 'whole', 'years', 'currently', 'at', '707', 'days', 'would', 'not', 'of', 'being', 'able', 'to', 'get', 'here', 'without', 'the', 'twitter', 'community', 'am', 'so', 'proud', 'and', 'the', 'change', 'was', 'certainly', 'needed', 'well', 'impressed', 'with']",1,1
