doc,clean,tokens,prediction,ground_truth
"Day 6 being sober 

It feels like cocaine. I got so much power I don’t know what to do. Gonna hit the gym 💪",day 6 being sober feels like cocaine got so much power dont know to do gonna hit the gym,"['day', '6', 'being', 'sober', 'feels', 'like', 'cocaine', 'got', 'so', 'much', 'power', 'dont', 'know', 'to', 'do', 'gonna', 'hit', 'the', 'gym']",2,2
"Just know you can do it. Im using red kratom, go get some. Im on day 3 of Cold turkey, and i feel like shit but the kratom helps SO much. And i feel AMAZING knowing im leaving this bullshit behind me. You CAN do it",just know can do im using red kratom go get some im on day 3 of cold turkey and feel like shit but the kratom helps so much and feel amazing knowing im leaving bullshit behind can do,"['just', 'know', 'can', 'do', 'im', 'using', 'red', 'kratom', 'go', 'get', 'some', 'im', 'on', 'day', '3', 'of', 'cold', 'turkey', 'and', 'feel', 'like', 'shit', 'but', 'the', 'kratom', 'helps', 'so', 'much', 'and', 'feel', 'amazing', 'knowing', 'im', 'leaving', 'bullshit', 'behind', 'can', 'do']",2,2
I'm on methadone it definitely doesn't work well for me.,am on methadone definitely does not work well for,"['am', 'on', 'methadone', 'definitely', 'does', 'not', 'work', 'well', 'for']",2,2
"Yeah dude, guess metabolism has a huge role in how fast it passes.  Has to be more to it than just that, but it eludes me lol. Be careful out there",yeah dude guess metabolism has a huge role in how fast passes has to be more to than just but eludes lol be careful out there,"['yeah', 'dude', 'guess', 'metabolism', 'has', 'a', 'huge', 'role', 'in', 'how', 'fast', 'passes', 'has', 'to', 'be', 'more', 'to', 'than', 'just', 'but', 'eludes', 'lol', 'be', 'careful', 'out', 'there']",2,2
Also have to say I’m more thankful than ever for my sobriety today. Cocaine was my DOC- I truly believe if I wouldn’t have gotten sober when I did I would have succumbed to my addiction sooner than later. A new life is out there if you’re struggling. You CAN overcome https://t.co/8zlnItTprc,also have to say im more thankful than ever for sobriety today cocaine was doc truly believe if wouldnt have gotten sober when did would have succumbed to addiction sooner than later a new life is out there if youre struggling can overcome,"['also', 'have', 'to', 'say', 'im', 'more', 'thankful', 'than', 'ever', 'for', 'sobriety', 'today', 'cocaine', 'was', 'doc', 'truly', 'believe', 'if', 'wouldnt', 'have', 'gotten', 'sober', 'when', 'did', 'would', 'have', 'succumbed', 'to', 'addiction', 'sooner', 'than', 'later', 'a', 'new', 'life', 'is', 'out', 'there', 'if', 'youre', 'struggling', 'can', 'overcome']",2,2
If u are dead set on takin the oxys then save em for tomorrow when u aint on the xans and the booze,if u are dead set on takin the oxys then save em for tomorrow when u aint on the xans and the booze,"['if', 'u', 'are', 'dead', 'set', 'on', 'takin', 'the', 'oxys', 'then', 'save', 'em', 'for', 'tomorrow', 'when', 'u', 'aint', 'on', 'the', 'xans', 'and', 'the', 'booze']",2,2
"My vision gets blurry when I do loads of heroin. To a point where I permanently squint with one eye to even see shit. And I get super dumb. Maybe they are even stronger than you think and you are just very, very high.",vision gets blurry when do loads of heroin to a point where permanently squint with one eye to even see shit and get super dumb maybe are even stronger than think and are just very very high,"['vision', 'gets', 'blurry', 'when', 'do', 'loads', 'of', 'heroin', 'to', 'a', 'point', 'where', 'permanently', 'squint', 'with', 'one', 'eye', 'to', 'even', 'see', 'shit', 'and', 'get', 'super', 'dumb', 'maybe', 'are', 'even', 'stronger', 'than', 'think', 'and', 'are', 'just', 'very', 'very', 'high']",2,2
Meth AND phetamene now that’s a bargain I could get addicted too!!!,meth and phetamene now thats a bargain could get addicted too,"['meth', 'and', 'phetamene', 'now', 'thats', 'a', 'bargain', 'could', 'get', 'addicted', 'too']",2,2
I’m sorry that totally sucks. I’m realize how lucky I am to have my pain treated properly.,im sorry totally sucks im realize how lucky am to have pain treated properly,"['im', 'sorry', 'totally', 'sucks', 'im', 'realize', 'how', 'lucky', 'am', 'to', 'have', 'pain', 'treated', 'properly']",2,2
"thankyou for the concern i always give the same advice. but i smoked a small piece and am feeling pretty good, nowhere near as good as roxys tho imo",thankyou for the concern always give the same advice but smoked a small piece and am feeling pretty good nowhere near as good as roxys tho imo,"['thankyou', 'for', 'the', 'concern', 'always', 'give', 'the', 'same', 'advice', 'but', 'smoked', 'a', 'small', 'piece', 'and', 'am', 'feeling', 'pretty', 'good', 'nowhere', 'near', 'as', 'good', 'as', 'roxys', 'tho', 'imo']",2,2
